target_id	length	eff_length	est_counts	tpm
ENSDART00000162709.3	4761	4509.2	569.93	10.2417
ENSDART00000125149.3	3218	2966.2	0	0
ENSDART00000182440.1	3291	3039.2	0	0
ENSDART00000168177.2	3370	3118.2	191.785	4.98381
ENSDART00000171570.2	1371	1119.2	0	0
ENSDART00000162972.3	1568	1316.2	6	0.369385
ENSDART00000007487.9	873	621.198	68	8.8701
ENSDART00000168926.2	1724	1472.2	382	21.0255
ENSDART00000171190.2	3169	2917.2	8.08348	0.224534
ENSDART00000167950.2	667	415.198	0	0
ENSDART00000165811.2	556	304.252	0	0
ENSDART00000170923.2	1670	1418.2	0	0
ENSDART00000169803.2	998	746.198	2	0.217183
ENSDART00000169180.2	3210	2958.2	666	18.243
ENSDART00000165795.2	1002	750.198	0	0
ENSDART00000079649.6	641	389.207	0	0
ENSDART00000160925.2	4365	4113.2	955.014	18.8139
ENSDART00000188827.1	4409	4157.2	235.247	4.58536
ENSDART00000159824.2	734	482.198	5	0.840223
ENSDART00000171098.2	437	185.767	0	0
ENSDART00000160161.2	46	18.3611	8	35.3054
ENSDART00000164734.2	55	22.1489	0	0
ENSDART00000162964.2	49	19.8974	3	12.2173
ENSDART00000163969.2	49	19.8974	0	0
ENSDART00000170440.2	46	18.3611	0	0
ENSDART00000157393.2	52	21.0233	0	0
ENSDART00000166061.2	45	17.8571	0	0
ENSDART00000171447.2	49	19.8974	0	0
ENSDART00000168385.2	60	24.283	0	0
ENSDART00000164889.2	63	25.9643	0	0
ENSDART00000167932.2	60	24.283	0	0
ENSDART00000168960.2	63	25.9643	0	0
ENSDART00000160963.2	63	25.9643	0	0
ENSDART00000166210.2	60	24.283	0	0
ENSDART00000172223.2	56	23.1489	0	0
ENSDART00000161734.2	64	26.9643	0	0
ENSDART00000170448.2	57	24.1489	0	0
ENSDART00000161350.2	63	25.9643	0	0
ENSDART00000186687.1	63	25.9643	0	0
ENSDART00000158609.2	60	24.283	0	0
ENSDART00000167576.2	63	25.9643	0	0
ENSDART00000186087.1	63	25.9643	0	0
ENSDART00000190142.1	66	27.1333	0	0
ENSDART00000180403.1	63	25.9643	0	0
ENSDART00000158148.2	63	25.9643	0	0
ENSDART00000166370.2	63	25.9643	0	0
ENSDART00000191760.1	63	25.9643	0	0
ENSDART00000159055.2	66	27.1333	0	0
ENSDART00000113547.3	903	651.198	23.3196	2.90174
ENSDART00000183757.1	63	25.9643	0	0
ENSDART00000180943.1	63	25.9643	0	0
ENSDART00000185656.1	66	27.1333	0	0
ENSDART00000170926.2	63	25.9643	0	0
ENSDART00000186681.1	66	27.1333	0	0
ENSDART00000182863.1	63	25.9643	0	0
ENSDART00000164894.2	66	27.1333	0	0
ENSDART00000164120.2	63	25.9643	0	0
