target_id	length	eff_length	est_counts	tpm
ENSDART00000162709.3	4761	4529.83	592.928	11.8112
ENSDART00000125149.3	3218	2986.83	0	0
ENSDART00000182440.1	3291	3059.83	0	0
ENSDART00000168177.2	3370	3138.83	501.297	14.4113
ENSDART00000171570.2	1371	1139.83	0	0
ENSDART00000162972.3	1568	1336.83	34	2.29498
ENSDART00000007487.9	873	641.879	80	11.2463
ENSDART00000168926.2	1724	1492.83	404	24.42
ENSDART00000171190.2	3169	2937.83	3.61882	0.111151
ENSDART00000167950.2	667	435.964	0	0
ENSDART00000165811.2	556	325.023	0	0
ENSDART00000170923.2	1670	1438.83	0	0
ENSDART00000169803.2	998	766.825	1	0.117673
ENSDART00000169180.2	3210	2978.83	890	26.9599
ENSDART00000165795.2	1002	770.825	0	0
ENSDART00000079649.6	641	409.975	2	0.440196
ENSDART00000160925.2	4365	4133.83	550.135	12.0086
ENSDART00000188827.1	4409	4177.83	24.1884	0.522433
ENSDART00000159824.2	734	502.94	8	1.43532
ENSDART00000171098.2	437	206.252	2	0.874994
ENSDART00000160161.2	46	19.72	1	4.5758
ENSDART00000164734.2	55	25.7895	0	0
ENSDART00000162964.2	49	21.8846	0	0
ENSDART00000163969.2	49	21.8846	1	4.1232
ENSDART00000170440.2	46	19.72	0	0
ENSDART00000157393.2	52	23.6545	0	0
ENSDART00000166061.2	45	18.72	0	0
ENSDART00000171447.2	49	21.8846	0	0
ENSDART00000168385.2	60	30.2759	0	0
ENSDART00000164889.2	63	31.7541	0	0
ENSDART00000167932.2	60	30.2759	0	0
ENSDART00000168960.2	63	31.7541	0	0
ENSDART00000160963.2	63	31.7541	0	0
ENSDART00000166210.2	60	30.2759	0	0
ENSDART00000172223.2	56	26.7895	0	0
ENSDART00000161734.2	64	32.7541	0	0
ENSDART00000170448.2	57	27.7895	0	0
ENSDART00000161350.2	63	31.7541	0	0
ENSDART00000186687.1	63	31.7541	0	0
ENSDART00000158609.2	60	30.2759	0	0
ENSDART00000167576.2	63	31.7541	0	0
ENSDART00000186087.1	63	31.7541	0	0
ENSDART00000190142.1	66	31.806	0	0
ENSDART00000180403.1	63	31.7541	0	0
ENSDART00000158148.2	63	31.7541	0	0
ENSDART00000166370.2	63	31.7541	0	0
ENSDART00000191760.1	63	31.7541	0	0
ENSDART00000159055.2	66	31.806	0	0
ENSDART00000113547.3	903	671.862	30	4.02917
ENSDART00000183757.1	63	31.7541	0	0
ENSDART00000180943.1	63	31.7541	0	0
ENSDART00000185656.1	66	31.806	0	0
ENSDART00000170926.2	63	31.7541	0	0
ENSDART00000186681.1	66	31.806	0	0
ENSDART00000182863.1	63	31.7541	0	0
ENSDART00000164894.2	66	31.806	0	0
ENSDART00000164120.2	63	31.7541	0	0
ENSDART00000162352.2	60	30.2759	0	0
ENSDART00000191731.1	63	31.7541	0	0
ENSDART00000166454.2	57	27.7895	0	0
ENSDART00000167581.2	57	27.7895	0	0
ENSDART00000159473.2	63	31.7541	0	0
ENSDART00000182846.1	63	31.7541	0	0
ENSDART00000193507.1	66	31.806	0	0
ENSDART00000193441.1	66	31.806	0	0
ENSDART00000159092.2	63	31.7541	0	0
ENSDART00000162187.2	63	31.7541	0	0
ENSDART00000171126.2	60	30.2759	0	0
ENSDART00000184586.1	66	31.806	0	0
ENSDART00000190235.1	66	31.806	0	0
ENSDART00000190038.1	399	168.651	0	0
ENSDART00000167303.2	63	31.7541	0	0
ENSDART00000159979.2	60	30.2759	0	0
ENSDART00000165172.2	63	31.7541	0	0
ENSDART00000168126.2	57	27.7895	0	0
ENSDART00000171914.2	63	31.7541	0	0
ENSDART00000190775.1	66	31.806	0	0
ENSDART00000159628.2	63	31.7541	0	0
ENSDART00000158978.2	907	675.862	0	0
ENSDART00000161459.2	60	30.2759	0	0
ENSDART00000170206.2	61	30.7627	0	0
ENSDART00000181827.1	63	31.7541	0	0
ENSDART00000161571.2	57	27.7895	0	0
ENSDART00000171681.2	60	30.2759	0	0
ENSDART00000162921.2	60	30.2759	0	0
ENSDART00000159011.2	63	31.7541	0	0
ENSDART00000170691.2	63	31.7541	0	0
ENSDART00000185019.1	66	31.806	0	0
ENSDART00000193555.1	66	31.806	0	0
ENSDART00000161763.2	63	31.7541	0	0
ENSDART00000192441.1	63	31.7541	0	0
ENSDART00000187002.1	896	664.862	0	0
ENSDART00000190928.1	66	31.806	0	0
ENSDART00000166020.2	66	31.806	0	0
ENSDART00000160505.2	60	30.2759	0	0
ENSDART00000191315.1	976	744.825	0	0
ENSDART00000170860.2	63	31.7541	0	0
ENSDART00000161136.2	63	31.7541	0	0
ENSDART00000161690.2	63	31.7541	0	0
ENSDART00000192804.1	63	31.7541	0	0
ENSDART00000166828.2	63	31.7541	0	0
ENSDART00000172037.2	344	115.666	0	0
ENSDART00000165410.2	350	121.28	11	8.18424
ENSDART00000163675.2	339	111.058	0	0
ENSDART00000172374.2	355	126.02	0	0
ENSDART00000161368.2	354	125.043	0	0
ENSDART00000171132.2	338	110.166	0	0
ENSDART00000170804.2	366	136.512	0	0
ENSDART00000160762.2	345	116.6	0	0
ENSDART00000167067.2	378	148.085	0	0
ENSDART00000161271.2	334	106.447	0	0
ENSDART00000163938.2	366	136.512	0	0
ENSDART00000161622.2	445	214.219	0	0
ENSDART00000162257.2	426	195.349	0	0
ENSDART00000158119.2	318	92.093	0	0
ENSDART00000169491.2	387	156.852	1	0.575286
ENSDART00000172528.2	396	165.705	0	0
ENSDART00000166253.2	411	180.485	0	0
ENSDART00000160948.2	323	96.5175	0	0
ENSDART00000161537.2	377	147.117	0	0
ENSDART00000159235.2	348	119.364	0	0
ENSDART00000171772.2	483	252.142	0	0
ENSDART00000167404.2	357	127.907	0	0
ENSDART00000171344.2	462	231.194	0	0
ENSDART00000168039.2	470	239.182	0	0
ENSDART00000157830.2	431	200.312	0	0
ENSDART00000166182.2	372	142.284	0	0
ENSDART00000167805.2	378	148.085	1	0.609342
ENSDART00000159795.2	419	188.426	0	0
ENSDART00000160202.2	378	148.085	0	0
ENSDART00000163851.2	330	102.787	0	0
ENSDART00000161463.2	417	186.441	0	0
ENSDART00000164491.2	366	136.512	0	0
ENSDART00000158772.2	348	119.364	0	0
ENSDART00000167409.2	420	189.421	0	0
ENSDART00000160204.2	348	119.364	0	0
ENSDART00000166882.2	420	189.421	0	0
ENSDART00000171020.2	383	152.972	0	0
ENSDART00000162456.2	366	136.512	0	0
ENSDART00000164309.2	390	159.818	0	0
ENSDART00000160996.2	369	139.382	0	0
ENSDART00000166892.2	332	104.612	1	0.862569
ENSDART00000171613.2	393	162.762	0	0
ENSDART00000164961.2	357	127.907	0	0
ENSDART00000164492.2	396	165.705	2	1.0891
ENSDART00000158814.2	396	165.705	0	0
ENSDART00000171201.2	397	166.696	0	0
ENSDART00000164110.2	399	168.651	0	0
ENSDART00000166029.2	381	151.033	0	0
ENSDART00000165676.2	371	141.322	0	0
ENSDART00000163282.2	342	113.893	0	0
ENSDART00000167496.2	346	117.508	0	0
ENSDART00000164659.2	404	173.537	0	0
ENSDART00000164489.2	350	121.28	0	0
ENSDART00000160625.2	413	182.461	0	0
ENSDART00000169436.2	387	156.852	0	0
ENSDART00000170399.2	380	150.042	0	0
ENSDART00000162378.2	358	128.858	0	0
ENSDART00000169864.2	389	158.823	0	0
ENSDART00000164059.2	336	108.351	0	0
ENSDART00000168607.2	375	145.195	0	0
ENSDART00000161399.2	381	151.033	2	1.1949
ENSDART00000171483.2	397	166.696	0	0
ENSDART00000171356.2	339	111.058	0	0
ENSDART00000172182.2	413	182.461	0	0
ENSDART00000113019.3	414	183.451	0	0
ENSDART00000170523.2	375	145.195	0	0
ENSDART00000160187.2	385	154.919	0	0
ENSDART00000114271.4	416	185.446	0	0
ENSDART00000159161.2	423	192.38	0	0
ENSDART00000162061.2	314	88.5725	0	0
ENSDART00000189431.1	11	6.66667	0	0
ENSDART00000189226.1	10	5.66667	0	0
ENSDART00000154123.2	849	617.896	44.9735	6.56773
ENSDART00000156878.3	1157	925.825	12.0265	1.17215
ENSDART00000156142.2	1978	1746.83	14	0.72319
ENSDART00000147009.2	822	590.896	4	0.610833
ENSDART00000155827.2	1161	929.825	0	0
ENSDART00000154829.2	1305	1073.83	122.478	10.292
ENSDART00000062130.6	1098	866.825	0	0
ENSDART00000155479.2	772	540.926	63.2087	10.5442
ENSDART00000108694.4	4172	3940.83	409	9.36505
ENSDART00000162388.2	2689	2457.83	0	0
ENSDART00000170119.2	5202	4970.83	28.8998	0.524613
ENSDART00000163370.3	2009	1777.83	15	0.761335
ENSDART00000189331.1	910	678.862	0	0
ENSDART00000144959.3	790	558.911	12.1459	1.96092
ENSDART00000147509.2	671	439.964	0	0
ENSDART00000092479.5	678	446.964	281.904	56.9118
ENSDART00000169521.2	1111	879.825	5	0.512799
ENSDART00000181582.1	417	186.441	0	0
ENSDART00000149108.2	1677	1445.83	0	0
ENSDART00000192145.1	3575	3343.83	249.962	6.74535
ENSDART00000053045.5	3089	2857.83	2273.27	71.7777
ENSDART00000143599.2	696	464.94	20.7417	4.02552
ENSDART00000168857.2	4172	3940.83	24.9878	0.572156
ENSDART00000091955.5	4669	4437.83	985.329	20.0348
ENSDART00000173716.2	2715	2483.83	222.777	8.09326
ENSDART00000190811.1	4056	3824.83	2722.36	64.2255
ENSDART00000039267.7	1029	797.825	1276.92	144.421
ENSDART00000131609.3	928	696.825	0	0
ENSDART00000135265.2	939	707.825	0	0
ENSDART00000123482.4	1615	1383.83	25.1187	1.63791
ENSDART00000057528.5	1879	1647.83	420.881	23.0474
ENSDART00000171868.2	668	436.964	39.1285	8.08018
ENSDART00000166819.2	1580	1348.83	444.068	29.7076
ENSDART00000164984.2	640	408.975	2.40188	0.529942
ENSDART00000162589.2	633	401.975	0	0
ENSDART00000180692.1	2557	2325.83	21.2208	0.823302
ENSDART00000081477.5	1577	1345.83	421	28.2272
ENSDART00000169763.2	1124	892.825	41	4.14373
ENSDART00000146325.2	1157	925.825	15	1.46196
ENSDART00000018533.8	1232	1000.83	13	1.17208
ENSDART00000013607.9	1791	1559.83	0	0
ENSDART00000157155.2	2515	2283.83	543	21.4541
ENSDART00000013814.8	1325	1093.83	45	3.71226
ENSDART00000133348.2	992	760.825	154	18.2646
ENSDART00000168251.2	800	568.896	0	0
ENSDART00000147715.2	1088	856.825	10	1.05313
ENSDART00000128486.3	641	409.975	0	0
ENSDART00000122108.3	6037	5805.83	406.633	6.31994
ENSDART00000136763.2	505	274.094	4	1.31684
ENSDART00000154124.2	944	712.825	6	0.759525
ENSDART00000110781.7	3769	3537.83	43	1.09675
ENSDART00000155803.2	861	629.879	0	0
ENSDART00000146728.3	1681	1449.83	107.152	6.66897
ENSDART00000171731.2	1022	790.825	0	0
ENSDART00000182840.1	843	611.896	22.1846	3.27151
ENSDART00000017902.8	5192	4960.83	532.078	9.6782
